Reaction_ID,Mean_IBD,Mean_Control,Fold_Change,P_value,FDR_corrected_q
NTD11,227.35150807678053,274.02582901978434,0.8296718192224355,0.030919294062404228,0.036518851254808145
NACt2r,46.528644053409174,40.442421191387055,1.1504910606914476,0.03982348074918847,0.046668141502955236
EX_ala_D_m,-1.698840332881463,-17.31363480028106,0.09812152979303253,0.04223854467994791,0.049114586837148734
CSABCASE_A_epp,2.727272727272727,23.11772613803403,0.11797322586955167,0.05656516742029999,0.0652675008695769
EX_fe3_m,-0.0033752217727272727,-0.00322026434375,1.0481194748120661,0.05816539148001089,0.06660159329772239
GLYLEUPEPT1tc,369.39288535766934,418.1400886646401,0.883418967402412,0.06147877140545814,0.06986224023347516
EX_nmn(e),-86.4338318341182,-25.190951978499996,3.431145909368088,0.0708305173106959,0.07988404207973221
POR4i,186.51651204123084,31.25,5.968528385319387,0.08303818581153871,0.09295319307261796
LYSt2r,-68.43861665221836,-67.9733818161474,1.0068443679516978,0.09788355415859393,0.10875950462065992
FERO,20.13305570345152,0.01429700327924067,1408.2010971267548,0.1288911604521787,0.1421593681457853
PUNP4,676.1460579210889,543.4344116138147,1.2442091326406177,0.13388436370352874,0.1465887193834256
EX_levanttr(e),131.25529713419752,17.215681362725448,7.6241709153832895,0.1589444529832844,0.17276570976443958
r0060,1279.797131023431,1401.618753985279,0.9130850506848116,0.20601698885784314,0.22232049157321201
NNAM,165.20920346721093,102.03730049001453,1.619105980595581,0.21310846084114587,0.22833049375837058
GCALDt,2.8735908845183613,41.66326666780668,0.0689718093261946,0.22037448132243953,0.23444093757706333
ORNDC,80.58412270103315,65.3300605553562,1.2334922394990238,0.326394104424249,0.34478250467350247
FCSNt,29.62988631247425,9.597847909933973,3.0871385534049463,0.3874668001375462,0.4064337064379855
HSERTA,-10.089387471812774,-13.164912745747433,0.7663846822738629,0.47291612987365217,0.49262096861838767
EX_bzd_m,3.9612855606617456,2.7691091781740624,1.4305270416509177,0.7546708284340516,0.780693960449019
EX_tlf_a_1b_m,2.6690737097888335,0.8415001505745527,3.171804197499507,0.8071300839529639,0.8292432369379766
EX_phe_L_m,6.6061953790183034,2.7307322360575093,2.419202912606323,0.8222907254910723,0.8390721688684412
EX_indole_m,-4.882990051346006,-6.988073901559267,0.6987605054171582,0.8796912333950775,0.8915789527652812
ACODAr,407.77193412136114,256.8190480194019,1.5877791669508687,0.9532777065109485,0.9532777065109486
ACGS,407.77193412136114,256.8190480194019,1.5877791669508687,0.9532777065109485,0.9532777065109486
